country,gdp_per_capita,life_expectancy,unemployment_rate
Afghanistan,357.261152798144,62.879,14.1
Albania,6846.42614266044,76.833,10.137
Algeria,4961.55257664733,77.129,12.346
American Samoa,18017.4589383973,,
Andorra,42414.0590092117,,
Angola,2929.69445467272,61.929,14.602
Antigua and Barbuda,20117.7653310355,79.236,
Argentina,13935.6811110049,76.064,6.805
Armenia,6571.97445545099,73.372,13.379
Aruba,30559.5335346581,74.992,
Australia,64997.0136536475,83.2,3.728
Austria,52176.6649141178,81.0926829268293,4.992
Azerbaijan,7770.594223351,73.488,5.65
"Bahamas, The",33044.388209429,74.358,9.272
Bahrain,30616.2610677495,79.246,1.326
Bangladesh,2716.48592677835,73.698,4.593
Barbados,22164.0260273876,77.706,8.365
Belarus,7994.64806074889,73.1114634146342,3.574
Belgium,50807.2047084918,81.6975609756098,5.57
Belize,7068.45478269722,70.962,8.763
Benin,1264.70765976655,59.954,1.685
Bermuda,120897.311155385,81.571,
Bhutan,3711.32767902157,72.229,5.947
Bolivia,3643.92826968677,64.928,3.552
Bosnia and Herzegovina,7655.59421024383,75.293,12.657
Botswana,8329.04032229144,65.913,23.615
Brazil,9281.33334441234,73.425,9.231
British Virgin Islands,,76.373,
Brunei Darussalam,36632.9280421411,74.551,5.191
Bulgaria,13644.201582807,74.3609756097561,4.268
Burkina Faso,836.118304593682,59.766,5.389
Burundi,250.634225368744,61.977,0.915
Cabo Verde,4323.31362665974,74.722,12.246
Cambodia,2325.03050040841,69.896,0.231
Cameroon,1604.87726954895,60.958,3.653
Canada,55509.393176404,81.2956097560976,5.279
Cayman Islands,92202.1478031576,,
Central African Republic,467.359825026238,54.477,5.956
Chad,671.720147647873,52.997,1.096
Channel Islands,67627.3082341446,81.583,6.147
Chile,15451.1319576678,79.519,8.249
China,12662.5826712038,78.587,4.98
Colombia,6674.59601948063,73.659,10.547
Comoros,1489.49566257969,63.68,3.816
"Congo, Dem. Rep.",642.612265820033,59.743,4.522
"Congo, Rep.",2620.83804267402,63.053,20.108
Costa Rica,13625.9008491328,77.32,11.325
Cote d'Ivoire,2308.70654660366,58.916,2.306
Croatia,18466.0955472648,77.5756097560976,6.96
Cuba,,78.155,1.82
Curacao,20501.7522782219,,
Cyprus,33938.9453125,81.889,6.806
Czechia,28282.2236715857,79.0292682926829,2.224
Denmark,68091.3191138669,81.3048780487805,4.434
Djibouti,3231.30015326477,62.859,26.307
Dominica,9085.67412772363,72.981,
Dominican Republic,10109.5234003521,74.17,5.504
Ecuador,6540.99824522101,77.894,3.761
"Egypt, Arab Rep.",4233.30783744856,70.159,7.344
El Salvador,5093.51833879776,71.475,2.999
Equatorial Guinea,7589.29964909381,61.19,8.455
Eritrea,,66.604,5.695
Estonia,28451.1477825175,77.9439024390244,5.571
Eswatini,3852.08573272946,56.36,35.359
Ethiopia,1011.0732858233,65.645,3.409
Faroe Islands,66108.733645837,83.3,
Fiji,5405.03007408295,68.312,4.446
Finland,50438.4753952355,81.1878048780488,6.719
France,41082.8119320747,82.2292682926829,7.308
French Polynesia,20738.6499971661,83.55,11.888
Gabon,8409.2074145028,65.694,20.399
"Gambia, The",836.244875868476,62.906,6.076
Georgia,6729.84659930283,71.587,11.647
Germany,49686.1154582583,80.7056097560976,3.12
Ghana,2240.27945094566,63.945,3.084
Gibraltar,,82.83,
Greece,20971.8349258283,80.6365853658537,12.426
Greenland,,71.5404878048781,
Grenada,10474.2652893842,75.335,
Guam,41833.1517132825,78.33,5.454
Guatemala,5358.08963795,68.674,3.051
Guinea,1416.59612011764,58.985,5.267
Guinea-Bissau,853.281304044102,59.861,2.666
Guyana,17913.4910146288,65.989,12.013
Haiti,1760.62635668777,63.728,14.635
Honduras,3003.28996826399,70.728,8.774
"Hong Kong SAR, China",48826.0527728276,83.6609756097561,4.318
Hungary,18353.298364905,76.0170731707317,3.609
Iceland,75314.085560994,82.1707317073171,3.789
India,2352.61392452078,67.744,4.822
Indonesia,4730.74548910499,68.25,3.462
"Iran, Islamic Rep.",4405.09291519791,74.556,9.085
Iraq,6504.12428393548,71.336,15.511
Ireland,106194.755859223,83.0560975609756,4.501
Isle of Man,,80.762,
Israel,54930.7261602593,82.7,3.695
Italy,35635.7442204098,82.9,8.069
Jamaica,6022.15341099999,70.629,4.083
Japan,34017.2718075024,83.9963414634146,2.6
Jordan,4332.25159897931,74.215,18.2
Kazakhstan,11255.3396437881,74.44,4.86
Kenya,2109.56288513137,62.055,5.707
Kiribati,2075.90844085067,67.661,
"Korea, Dem. People's Rep.",,73.578,2.805
"Korea, Rep.",32394.6833725203,82.6804878048781,2.857
Kosovo,5290.94747224687,79.524,
Kuwait,40077.238047746,80.264,2.174
Kyrgyz Republic,1739.72030814894,72.0487804878049,4.043
Lao PDR,2046.40440255621,68.999,1.209
Latvia,20229.4613617326,74.580487804878,6.815
Lebanon,3654.35845534878,74.416,11.6
Lesotho,1029.99553333827,53.036,16.688
Liberia,744.617175237387,61.1,2.977
Libya,5986.63694851258,72.151,19.282
Liechtenstein,186400.23376784,84.319512195122,
Lithuania,25085.784063499,75.7926829268293,5.955
Luxembourg,125006.021815486,83.0463414634146,4.588
"Macao SAR, China",36909.9564090312,85.377,2.482
Madagascar,497.242514792961,65.23,3.186
Malawi,604.269751184515,62.898,5.037
Malaysia,11748.0919307944,76.26,3.93
Maldives,11786.0091545343,80.839,4.419
Mali,813.965034073188,59.417,2.387
Malta,36142.2058531852,82.7,2.921
Marshall Islands,6322.82855503156,65.146,
Mauritania,1960.35240077424,64.691,10.531
Mauritius,10239.7970461095,73.5146341463415,6.322
Mexico,11385.4070757929,74.832,3.256
"Micronesia, Fed. Sts.",3835.38184348074,70.925,
Moldova,5738.42473515618,68.621,0.897
Monaco,226052.001905201,,
Mongolia,4993.51487463495,72.667,6.211
Montenegro,10093.4387007266,76.1878048780488,14.851
Morocco,3455.39624023438,74.973,9.494
Mozambique,578.251663751351,59.625,3.596
Myanmar,1158.05005034332,67.256,3.057
Namibia,4349.04532248966,58.059,19.695
Nauru,13287.2711890938,64.014,
Nepal,1385.91066275016,70.484,10.844
Netherlands,59123.318556487,81.7146341463415,3.526
New Caledonia,33516.363085906,80.9820731707317,10.71
New Zealand,48216.5095836302,82.7609756097561,3.297
Nicaragua,2325.16737851871,74.615,4.961
Niger,609.745147574878,62.08,0.418
Nigeria,2139.37478476974,53.633,3.821
North Macedonia,7606.2375253797,74.4248780487805,14.476
Northern Mariana Islands,23785.754590043,,
Norway,108798.451165901,82.5609756097561,3.231
Oman,23665.6394740852,73.935,3.3
Pakistan,1538.3228133171,66.431,5.485
Palau,14392.1990258461,,
Panama,17332.4360742988,76.826,8.086
Papua New Guinea,3101.71063200047,65.958,2.689
Paraguay,6205.62595379319,70.475,6.755
Peru,7363.27206939639,73.385,3.85
Philippines,3548.06930572116,72.187,2.598
Poland,18891.2121169279,77.3048780487805,2.811
Portugal,24620.519556875,81.5804878048781,6.011
Puerto Rico,35268.0791015719,79.72,6.0
Qatar,88701.463350036,81.559,0.13
Romania,15557.8826247584,75.3048780487805,5.614
Russian Federation,15445.2421875,72.5456097560976,3.867
Rwanda,975.469315871749,67.129,15.084
Samoa,3869.46639492144,72.598,5.048
San Marino,54264.570495898,,
Sao Tome and Principe,2389.73729784737,68.794,8.992
Saudi Arabia,34454.1957708412,77.905,5.589
Senegal,1564.74522071584,67.913,2.837
Serbia,10022.9688543402,75.4821951219512,8.439
Seychelles,17167.1909760833,73.8487804878049,
Sierra Leone,860.130884035452,60.411,3.175
Singapore,88428.7024226232,82.8951219512195,3.591
Sint Maarten (Dutch part),36476.6300833859,74.409,
Slovak Republic,21342.7666714692,77.0658536585366,6.143
Slovenia,28373.8382265999,81.2829268292683,4.011
Solomon Islands,2005.4139933198,70.742,1.483
Somalia,573.128092470162,56.107,19.05
South Africa,6523.41097815853,61.48,33.268
South Sudan,,55.567,12.545
Spain,30287.3657583614,83.0829268292683,12.917
Sri Lanka,3342.71989646203,76.61,4.528
St. Kitts and Nevis,21011.5744209816,72.027,
St. Lucia,13103.7621654634,71.294,15.934
St. Martin (French part),,80.55,
St. Vincent and the Grenadines,9471.14627317673,68.972,19.417
Sudan,1046.24084472656,65.578,7.53
Suriname,6084.43876736445,70.289,8.16
Sweden,55296.9371472535,83.109756097561,7.392
Switzerland,93245.7952120851,83.4536585365854,4.122
Syrian Arab Republic,1051.67149587463,72.3,13.268
Tajikistan,1052.17949484894,71.288,11.634
Tanzania,1207.85302734375,66.782,2.588
Thailand,6909.35997481451,79.68,0.94
Timor-Leste,2343.24524664152,69.056,1.537
Togo,898.758154410712,61.588,1.965
Tonga,4933.07479143113,71.27,2.302
Trinidad and Tobago,22004.1997884125,74.708,4.383
Tunisia,3678.40023411347,74.263,15.3
Turkiye,10674.504157865,78.475,10.465
Turkmenistan,8156.35211950774,69.41,4.109
Turks and Caicos Islands,26802.0673752091,74.925,
Tuvalu,5911.32727055301,64.854,
Uganda,963.067314117178,63.638,2.886
Ukraine,4199.6708984375,68.5879268292683,
United Arab Emirates,49899.0652978649,79.196,2.872
United Kingdom,45935.9276473925,82.0585365853659,3.73
United States,78035.1753604212,77.4341463414634,3.65
Uruguay,20691.9738991763,78.0,7.877
Uzbekistan,2578.66689394219,71.674,4.49
Vanuatu,3265.39645133096,70.492,5.143
"Venezuela, RB",,71.105,5.707
Viet Nam,4116.38576094153,74.58,1.523
Virgin Islands (U.S.),44320.909185774,80.319512195122,13.007
West Bank and Gaza,3799.95527015163,73.444,24.42
"Yemen, Rep.",615.70207931388,63.72,17.363
Zambia,1447.12310138035,61.803,5.995
Zimbabwe,2040.55245910726,59.391,10.087
